#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
28	10381038	1	46	312319529	30.085578	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	3136988	2432418	2754971	2056661	0		
29	10373057	1	46	311090977	29.990289	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2562889	2675138	2618808	2516222	0		
30	10365477	1	46	308543253	29.766431	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	3151628	2335689	2148769	2729391	0		
31	10357843	1	46	312154977	30.137064	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2331663	2634332	3055596	2336252	0		
32	10350525	1	46	311627233	30.107384	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	3164762	1557995	2692203	2935565	0		
33	10337976	1	46	310748381	30.058919	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2218745	3205192	2318296	2595743	0		
34	10330152	1	46	307500118	29.767240	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2907327	2832243	1932145	2658437	0		
35	10322482	1	46	308257935	29.862773	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2342217	1881162	3060540	3038563	0		
36	10314815	1	46	307154007	29.777946	26.000000	32.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	3104503	3053380	2181641	1975291	0		
37	10305621	1	46	301439094	29.249969	25.000000	31.000000	34.000000	9.000000	12	46	1,3,4,5,6,7,8,9,10,11	2752216	3353720	2100088	2099597	0		
38	10297041	1	46	306571032	29.772731	27.000000	31.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	3535231	2503828	2247453	2010529	0		
39	10289024	1	46	305005813	29.643804	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2418205	2665337	2724447	2481035	0		
40	10279751	1	46	304842842	29.654691	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	3486151	2756674	2039086	1997840	0		
41	10270489	1	46	303972971	29.596738	26.000000	32.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2437398	2949324	2148222	2735545	0		
42	10260913	1	46	303996916	29.626693	26.000000	31.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2988886	2396058	1816567	3059402	0		
43	10249929	1	46	308157473	30.064352	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2737032	2140506	2715356	2657035	0		
